product_id,name,Description,color,category,subcategory,stock,price,discounted_price,warranty
DIN_001,Vegas Faux Marble Top 6-Seater Dining Set with Chairs,Vegas Faux Marble Top 6-Seater Dining Set with Chairs,beige,Dining Room,Dining Sets,3,134996,900,1 year(s)
DIN_002,Harmony Sia Set of 2 Faux Leather Dining Chairs,Harmony Sia Set of 2 Faux Leather Dining Chairs,beige,Dining Room,Dining Chairs,6,14999,990,2 year(s)
DIN_003,Helios Reynan NXT Crockery Unit,Helios Reynan NXT Crockery Unit,white,Dining Room,crockery units,9,21665,1080,3 year(s)
DIN_004,Harmony Sia Faux Marble Top 6-Seater Dining Table with Chairs,Harmony Sia Faux Marble Top 6-Seater Dining Table with Chairs,beige,Dining Room,Dining Sets,12,88746,1170,1 year(s)
DIN_005,Modern Radiance Set of 2 Fabric Dining Chairs,Modern Radiance Set of 2 Fabric Dining Chairs,cream,Dining Room,Dining Chairs,15,28749,1260,2 year(s)
DIN_006,Hadley Buffet Sideboard,Hadley Buffet Sideboard,walnut,Dining Room,crockery units,18,44999,1350,3 year(s)
DIN_007,Helios Franklin 4-Seater Dining Set with Chairs and Bench,Helios Franklin 4-Seater Dining Set with Chairs and Bench,walnut,Dining Room,Dining Sets,21,33679,1440,1 year(s)
DIN_008,Voxen Set of 2 Fabric Dining Chairs ,Voxen Set of 2 Fabric Dining Chairs,beige,Dining Room,Dining Chairs,24,14999,1530,2 year(s)
DIN_009,Senorita Sideboard ,Senorita Sideboard,cream,Dining Room,crockery units,27,62499,1620,3 year(s)
DIN_010,Montoya 4-Seater Dining Set with Chairs and Bench,Montoya 4-Seater Dining Set with Chairs and Bench,brown,Dining Room,Dining Sets,30,17997,1710,1 year(s)
DIN_011,Falcon Set of 2 Faux Leather Dining Chairs,Falcon Set of 2 Faux Leather Dining Chairs,brown,Dining Room,Dining Chairs,33,14999,1800,2 year(s)
DIN_012,Helios Shokki Crockery Unit,Helios Shokki Crockery Unit,brown,Dining Room,crockery units,36,54998,1890,3 year(s)
DIN_013,Vogue NXT Faux Marble Top 6-Seater Dining Set with Chairs -,Vogue NXT Faux Marble Top 6-Seater Dining Set with Chairs,offwhite and grey,Dining Room,Dining Sets,39,124996,1980,1 year(s)
DIN_014,Bianca NXT Set of 2 Fabric Dining Chairs,Bianca NXT Set of 2 Fabric Dining Chairs,grey,Dining Room,Dining Chairs,42,15998,2070,2 year(s)
DIN_015,Vegas Faux Marble Top Sideboard ,Vegas Faux Marble Top Sideboard,grey,Dining Room,crockery units,45,62499,2160,3 year(s)
