product_id,name,color,brand,category,subcategory,description,stock,price,discounted_price,warranty
LIV_001,Botanical NXT Fabric 3+2 Seater Sofa Set with Wing Chair,grey,Brand1,Living Room,Sofas,"A luxurious 3+2 seater set with an elegant wing chair, upholstered in grey fabric for modern living rooms.",3,148747,133872,1 year(s)
LIV_002,Giza Composite Marble Top Coffee Table ,beige and brown,Brand2,Living Room,Coffee Tables,Beige and brown table with a sturdy composite marble top — a luxurious touch for casual elegance.,6,27499,24749,2 year(s)
LIV_003,Helios Isla TV Unit -,brown,Brand3,Living Room,TV Units,Brown TV unit with minimalist design and ample storage space for media devices.,9,24998,22498,3 year(s)
LIV_004,Helios Emily Fabric 3+2+1 Seater Sofa Set,Beige,Helios,Living Room,Sofas,"Full living room setup with a 3+2+1 seater combo in beige tones, ideal for spacious interiors.",12,39997,35997,1 year(s)
LIV_005,Clary Coffee Table,brown,Brand5,Living Room,Coffee Tables,"Simple yet functional brown coffee table, perfect for compact living spaces.",15,8748,7873,2 year(s)
LIV_006,Homeshores TV Unit,cream,Brand1,Living Room,TV Units,Cream-finished unit offering elegance with practical shelving and drawer space.,18,39999,35999,3 year(s)
LIV_007,Abby Fabric 3-Seater Sofa with Cushions,Brown,Brand2,Living Room,Sofas,A cozy and stylish 3-seater sofa in rich brown fabric with comfortable cushions for family seating.,21,37499,33749,1 year(s)
LIV_008,Helios Bill Coffee Table,dark brown,Brand3,Living Room,Coffee Tables,"Dark brown finish with sleek lines, adding contemporary charm to your coffee zone.",24,4165,3749,2 year(s)
LIV_009,Helios Apollo TV Unit ,brown,Brand4,Living Room,TV Units,"A bold brown unit with a premium build, perfect for large entertainment setups",27,69998,62998,3 year(s)
LIV_010,Helios California Fabric 3-Seater Sofa,Blue,Helios,Living Room,Sofas,"A plush blue fabric sofa offering bold color and comfort, perfect for modern spaces.",30,49998,44998,1 year(s)
LIV_011,Cera Ceramic Top Set of 2 Nesting Coffee Tables ,white,Brand1,Living Room,Coffee Tables,Modern white ceramic-topped nesting tables — stylish and space-saving.,33,31249,28124,2 year(s)
LIV_012,Modern Radiance TV Unit,cream,Brand2,Living Room,TV Units,"Sleek cream design with a contemporary touch, great for subtle yet smart setups",36,41249,37124,3 year(s)
LIV_013,Christian Fabric 3+1+1 Seater Sofa Set ,brown,Brand3,Living Room,Sofas,"A sophisticated 3+1+1 brown seater ensemble, combining elegance with roomy comfort.",39,143328,128995,1 year(s)
LIV_014,Helios Raina Ceramic Top Set of 2 Nesting Coffee Tables,white,Brand4,Living Room,Coffee Tables,"Durable and modern, this set offers a clean white finish and nesting convenience.",42,9999,8999,2 year(s)
LIV_015,Cameroon Mango Wood Top TV Unit ,brown,Brand5,Living Room,TV Units,Rustic yet elegant brown unit made with mango wood — a natural centerpiece for the living room.,45,39999,35999,3 year(s)
